path,title,molar_mass,molar_volume,formation_gibbs,formation_enthalpy,reference_entropy,reference_spec_heat,coef_a,coef_b,coef_c,track
/species/saponitefeca,Ca0.17Mg2FeAl0.34Si3.66O10(OH)2,417.246,145.15,-5275212.0,-5633570.0,337.85,339.5,339.5,0.0,0.0,"15bla/vie,Internal calculation"
/species/hsaponitefeca,Ca0.17Mg2FeAl0.34Si3.66O10(OH)2:4.799H2O,503.701,231.872,-6429866.0,-7026262.0,658.863,700.05,700.05,0.0,0.0,"15bla/vie| 11vie/bla,Internal calculation"
/species/saponiteca,Ca0.17Mg3Al0.34Si3.66O10(OH)2,385.704,142.57,-5624155.0,-5998440.0,289.78,329.09,329.09,0.0,0.0,"15bla/vie,Internal calculation"
/species/hsaponiteca,Ca0.17Mg3Al0.34Si3.66O10(OH)2:4.799H2O,472.159,229.292,-6778800.0,-7391128.0,610.779,689.64,689.64,0.0,0.0,"15bla/vie| 11vie/bla,Internal calculation"
/species/beidellitesbid,Ca0.185K0.104(Si3.574Al0.426)(Al1.812Mg0.090Fe0.112)O10(OH)2,374.694,137.98,-5357229.0,-5720690.0,293.52,318.5,270.93,342.91,-48.6,"12gai/bla,Internal calculation"
/species/nontronitenau2,Ca0.247K0.02(Si3.458Al0.542)(Fe1.688Al0.276Mg0.068)O10(OH)2,419.803,136.38,-4684785.0,-5035690.0,332.75,335.15,383.85,172.75,-89.08,"13gai/bla,Internal calculation,09gai"
/species/mordenitej,Ca0.289Na0.362Al0.94Si5.06O12:3.468H2O,441.85,212.4,-6229893.0,-6738439.0,486.54,484.45,526.73,164.8,-81.27,"92joh/tas,Internal calculation"
/species/montmorillonitehcca,Ca0.3Mg0.6Al1.4Si4O10(OH)2,370.731,140.32,-5370805.0,-5734420.0,288.96,310.34,310.34,0.0,0.0,"15bla/vie,Internal calculation"
/species/hmontmorillonitehcca,Ca0.3Mg0.6Al1.4Si4O10(OH)2:4.288H2O,447.981,217.801,-6402351.0,-6993637.0,525.549,632.5,632.5,0.0,0.0,"15bla/vie| 11vie/bla,Internal calculation"
/species/vermiculiteca,Ca0.43Mg3.00Si3.14Al0.86O10(OH)2,395.55,149.8,-5775639.0,-6148060.0,311.78,336.4,336.4,0.0,0.0,"15bla/vie,Internal calculation"
/species/hvermiculiteca,Ca0.43Mg3.00Si3.14Al0.86O10(OH)2:4.12H2O,469.773,224.248,-6765190.0,-7341806.0,587.923,645.94,645.94,0.0,0.0,"15bla/vie| 11vie/bla,Internal calculation"
/species/vermiculite-so,Ca0.445(Si2.778Al1.222)(Al0.216Mg2.475Fe0.254)O10(OH)2,403.004,148.36,-5666172.0,-6034410.0,325.77,346.97,347.26,274.68,-73.06,"13gai/bla,Internal calculation"
/species/mordenitebca,Ca0.515Al1.03Si4.97O12:3.1H2O,435.856,209.8,-6176954.0,-6662190.0,470.57,443.11,443.11,0.0,0.0,"95rob/hem,Internal calculation,09bla,10vie"
/species/clinoptiloliteca,Ca0.55(Si4.9Al1.1)O12:3.9H2O,451.594,209.66,-6390269.0,-6923330.0,498.89,481.02,481.02,0.0,0.0,"97coo/alb,Internal calculation,09bla,10vie"
/species/phillipsiteca,Ca0.5AlSi3O8:3H2O,313.318,151.15,-4441431.0,-4824113.0,342.38,333.0,333.0,0.0,0.0,"97coo/alb,09bla,Internal calculation,10vie"
/species/heulanditeca,Ca1.07Al2.14Si6.86O18:6.17H2O,692.434,315.65,-9827065.0,-10667200.0,701.829,719.05,506.71,962.0,-66.21,"97coo/alb,09bla,Internal calculation,10vie"
/species/c07a001sh,Ca1.4Al0.04Si2O6.0128H1.1056:1.4156H2O,236.177,105.11,-3173942.0,-3432156.0,250.132,253.55,253.55,0.0,0.0,"18roo/vie,Internal calculation"
/species/c07a0025sh,Ca1.4Al0.1Si2O6.1077H1.1154:1.5092H2O,241.011,110.509,-3246450.0,-3511529.0,261.01,269.2,269.2,0.0,0.0,"18roo/vie,Internal calculation"
/species/c07a005sh,Ca1.4Al0.2Si2O6.2658H1.1316:1.6968H2O,249.634,119.949,-3370993.0,-3649256.0,280.656,296.66,296.66,0.0,0.0,"18roo/vie,Internal calculation"
/species/c07sh,Ca1.4Si2O5.9496H1.0992:1.378H2O,233.403,101.857,-3131404.0,-3386415.0,244.069,244.2,244.2,0.0,0.0,"18roo/vie,Internal calculation"
/species/c08a001sh,Ca1.6Al0.04Si2O6.2343H1.1486:1.63H2O,251.643,111.365,-3367371.0,-3644866.0,269.322,272.2,272.2,0.0,0.0,"18roo/vie,Internal calculation"
/species/c08a0025sh,Ca1.6Al0.1Si2O6.331H1.162:1.6746H2O,255.626,116.077,-3426905.0,-3708678.0,277.864,285.69,285.69,0.0,0.0,"18roo/vie,Internal calculation"
/species/c08a005sh,Ca1.6Al0.2Si2O6.4921H1.1842:1.7636H2O,262.527,124.134,-3528898.0,-3818611.0,292.803,308.82,308.82,0.0,0.0,"18roo/vie,Internal calculation"
/species/c08sh,Ca1.6Si2O6.1698H1.1396:1.6122H2O,249.202,108.391,-3330387.0,-3605686.0,264.199,263.73,263.73,0.0,0.0,"18roo/vie,Internal calculation"
/species/c09sh,Ca1.8Si2O6.4048H1.2096:1.7014H2O,262.655,112.873,-3494641.0,-3783213.0,277.482,276.74,276.74,0.0,0.0,"18roo/vie,Internal calculation"
/species/gehlenite,Ca2(Al2Si)O7,274.2,90.15,-3786276.0,-3985000.0,210.1,206.4,227.25,89.0,-42.12,"95rob/hem,Internal calculation"
/species/c2sha,Ca2(HSiO4)(OH),190.254,71.12,-2449123.0,-2634920.0,122.384,111.88,111.88,0.0,0.0,"10abla/bou,Internal calculation"
/species/actinolite,Ca2(Mg2.25Fe2.5Al0.25)(Si7.75Al0.25)O22(OH)2,891.615,274.66,-11046383.0,-11754650.0,601.88,662.91,789.11,279.46,-186.24,"19bla/lac,Internal calculation"
/species/hemihydroxichlorideca,Ca2(OH)2Cl2:H2O,203.091,nan,-1928036.0,nan,nan,nan,nan,nan,nan,84har/mol
/species/c11a001sh,Ca2.2Al0.04Si2O6.9455H1.371:1.885H2O,291.886,124.623,-3855832.0,-4172870.0,308.609,310.62,310.62,0.0,0.0,"18roo/vie,Internal calculation"
/species/c11sh,Ca2.2Si2O6.8821H1.3642:1.867H2O,289.462,121.643,-3819644.0,-4134549.0,303.485,302.12,302.12,0.0,0.0,"18roo/vie,Internal calculation"
/species/c12a001sh,Ca2.4Al0.04Si2O7.1845H1.449:2.0794H2O,307.307,130.565,-4044503.0,-4380897.0,326.964,328.17,328.17,0.0,0.0,"18roo/vie,Internal calculation"
/species/c12sh,Ca2.4Si2O7.1203H1.4406:2.0692H2O,305.008,127.696,-4009888.0,-4344526.0,322.208,320.02,320.02,0.0,0.0,"18roo/vie,Internal calculation"
