Al,Mg,Si,Zn,liquidus,eq_liquidus
0.37,0.02,0.06,,870.3855975513633,{'LIQUID#1': 1.0}
0.37,0.02,0.07,,894.3133533165187,"{'DIAMOND_A4#1': 1.314114027056073e-15, 'LIQUID#1': 1.0}"
0.37,0.02,0.08,,916.155132010479,{'LIQUID#1': 1.0}
0.37,0.02,0.09,,936.343882866107,{'LIQUID#1': 0.9999999999999998}
0.37,0.03,0.01,,792.8181240049277,{'LIQUID#1': 1.0}
0.37,0.03,0.02,,782.6583029521184,{'LIQUID#1': 1.0}
0.37,0.03,0.03,,772.7615657251472,{'LIQUID#1': 1.0}
0.37,0.03,0.04,,798.7100009537198,{'LIQUID#1': 1.0}
0.37,0.03,0.05,,829.1725903705096,"{'DIAMOND_A4#1': 3.5619290382083127e-16, 'LIQUID#1': 1.0}"
0.37,0.03,0.06,,855.9317047278479,{'LIQUID#1': 0.9999999999999998}
0.37,0.03,0.07,,880.0056026982463,"{'DIAMOND_A4#1': 3.432551419596075e-16, 'LIQUID#1': 1.0}"
0.37,0.03,0.08,,902.0273068412259,"{'DIAMOND_A4#1': 3.468192999743203e-16, 'LIQUID#1': 1.0}"
0.37,0.03,0.09,,922.4193470606573,"{'DIAMOND_A4#1': 7.453416361916518e-16, 'LIQUID#1': 1.0}"
0.37,0.04,0.01,,790.6020465651127,"{'FCC_A1#1': 6.057047030511889e-16, 'LIQUID#1': 1.0}"
0.37,0.04,0.02,,781.1391313101745,"{'FCC_A1#1': 1.0901668163902458e-15, 'LIQUID#1': 0.9999999999999998}"
0.37,0.04,0.03,,771.9139149314473,{'LIQUID#1': 1.0}
0.37,0.04,0.04,,783.9468240928039,"{'DIAMOND_A4#1': 6.117919883351025e-16, 'LIQUID#1': 1.0}"
0.37,0.04,0.05,,814.416642616517,{'LIQUID#1': 1.0}
0.37,0.04,0.06,,841.2598268809454,{'LIQUID#1': 0.9999999999999998}
0.37,0.04,0.07,,865.4699709674353,"{'DIAMOND_A4#1': 1.310451416532601e-16, 'LIQUID#1': 1.0}"
0.37,0.04,0.08,,887.6643832900612,{'LIQUID#1': 1.0}
0.37,0.04,0.09,,908.2548831477249,"{'DIAMOND_A4#1': 6.929051181391395e-16, 'LIQUID#1': 1.0}"
0.37,0.05,0.01,,787.9204711707631,"{'FCC_A1#1': 5.200048010206588e-16, 'LIQUID#1': 1.0}"
0.37,0.05,0.02,,779.1363200844813,{'LIQUID#1': 1.0}
0.37,0.05,0.03,,793.3825882285067,{'LIQUID#1': 1.0}
0.37,0.05,0.04,,802.4951663176819,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.149399021461241e-16}"
0.37,0.05,0.05,,807.9504711674495,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.4243224264985036e-16}"
0.37,0.05,0.06,,826.3929685382293,"{'DIAMOND_A4#1': 4.0387840199741697e-16, 'LIQUID#1': 1.0000000000000002}"
0.37,0.05,0.07,,850.7277665956923,{'LIQUID#1': 1.0000000000000002}
0.37,0.05,0.08,,873.0858488368128,"{'DIAMOND_A4#1': 6.867521076870756e-16, 'LIQUID#1': 1.0}"
0.37,0.05,0.09,,893.86807699054,{'LIQUID#1': 1.0}
0.37,0.06,0.01,,784.8155591306785,"{'FCC_A1#1': 1.2221025581128622e-17, 'LIQUID#1': 1.0}"
0.37,0.06,0.02,,799.7391014182286,{'LIQUID#1': 1.0}
0.37,0.06,0.03,,816.5683774937861,{'LIQUID#1': 1.0}
0.37,0.06,0.04,,826.6332731407269,"{'LIQUID#1': 1.0000000000000002, 'MG2SI#1': 5.029212253196062e-16}"
0.37,0.06,0.05,,832.8851704780726,"{'LIQUID#1': 1.0, 'MG2SI#1': 7.422715785095957e-16}"
0.37,0.06,0.06,,836.6874481543798,{'LIQUID#1': 0.9999999999999999}
0.37,0.06,0.07,,838.7865328808597,{'LIQUID#1': 1.0}
0.37,0.06,0.08,,858.3108833750077,{'LIQUID#1': 1.0}
0.37,0.06,0.09,,879.276403527943,"{'DIAMOND_A4#1': 5.103653935323431e-15, 'LIQUID#1': 1.0}"
0.37,0.07,0.01,,784.3619502700702,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.8303417786169565e-16}"
0.37,0.07,0.02,,818.4617598476666,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.9254062978429546e-17}"
0.37,0.07,0.03,,836.3959535590216,{'LIQUID#1': 1.0}
0.37,0.07,0.04,,847.3383521253928,"{'LIQUID#1': 1.0, 'MG2SI#1': 5.925048701351976e-16}"
0.37,0.07,0.05,,854.3320347687487,{'LIQUID#1': 1.0}
0.37,0.07,0.06,,858.7839185957149,"{'LIQUID#1': 0.9999999999999998, 'MG2SI#1': 1.4958927099985992e-15}"
0.37,0.07,0.07,,861.4650051034037,{'LIQUID#1': 1.0}
0.37,0.07,0.08,,862.8447163619924,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 4.588021569354375e-15}"
0.37,0.07,0.09,,864.4971520783403,{'LIQUID#1': 1.0}
0.37,0.08,0.01,,799.093774245948,{'LIQUID#1': 1.0}
0.37,0.08,0.02,,834.6436912194534,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.860839533954116e-18}"
0.37,0.08,0.03,,853.5958533209007,{'LIQUID#1': 0.9999999999999998}
0.37,0.08,0.04,,865.3566447250562,"{'LIQUID#1': 1.0, 'MG2SI#1': 8.175082033549815e-18}"
0.37,0.08,0.05,,873.0486887985893,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.2988888600164753e-18}"
0.37,0.08,0.06,,878.1167329487627,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.6621161825520977e-16}"
0.37,0.08,0.07,,881.3531750449229,"{'LIQUID#1': 1.0, 'MG2SI#1': 9.71048673247153e-16}"
0.37,0.08,0.08,,883.2409578300188,{'LIQUID#1': 1.0}
0.37,0.08,0.09,,884.0964025126409,{'LIQUID#1': 1.0}
0.37,0.09,0.01,,811.8900687824647,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 3.73796191458161e-16}"
0.37,0.09,0.02,,848.7673972101687,{'LIQUID#1': 1.0}
0.37,0.09,0.03,,868.6664665597588,{'LIQUID#1': 1.0}
0.37,0.09,0.04,,881.1971874145038,{'LIQUID#1': 1.0}
0.37,0.09,0.05,,889.5518988359025,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.6433698114204787e-15}"
0.37,0.09,0.06,,895.2085500812316,{'LIQUID#1': 1.0000000000000002}
0.37,0.09,0.07,,898.978349500675,{'LIQUID#1': 1.0}
0.37,0.09,0.08,,901.3561522496939,{'LIQUID#1': 1.0}
0.37,0.09,0.09,,902.666444130133,{'LIQUID#1': 1.0}
0.38,0.01,0.01,,798.3429398277497,"{'FCC_A1#1': 2.4443552621291945e-16, 'LIQUID#1': 1.0}"
0.38,0.01,0.02,,786.9917292182201,{'LIQUID#1': 1.0}
0.38,0.01,0.03,,786.8260194130679,"{'DIAMOND_A4#1': 5.643310662738547e-16, 'LIQUID#1': 1.0}"
0.38,0.01,0.04,,822.8154436749717,"{'DIAMOND_A4#1': 5.806003616028852e-16, 'LIQUID#1': 1.0}"
0.38,0.01,0.05,,853.1038386513129,{'LIQUID#1': 1.0}
0.38,0.01,0.06,,879.5762140050614,{'LIQUID#1': 1.0}
0.38,0.01,0.07,,903.290327203943,{'LIQUID#1': 1.0}
0.38,0.01,0.08,,924.9042095896875,{'LIQUID#1': 1.0}
0.38,0.01,0.09,,944.8573002642313,{'LIQUID#1': 1.0}
0.38,0.02,0.01,,797.1211219306778,{'LIQUID#1': 1.0}
0.38,0.02,0.02,,786.4835773967179,{'LIQUID#1': 0.9999999999999999}
0.38,0.02,0.03,,776.1200483375045,"{'FCC_A1#1': 2.3071017224694523e-16, 'LIQUID#1': 1.0}"
0.38,0.02,0.04,,808.5772530653603,"{'DIAMOND_A4#1': 6.412044447300069e-16, 'LIQUID#1': 0.9999999999999999}"
0.38,0.02,0.05,,838.9013097689633,"{'DIAMOND_A4#1': 3.697520524590479e-16, 'LIQUID#1': 1.0}"
0.38,0.02,0.06,,865.4781769225526,{'LIQUID#1': 1.0}
0.38,0.02,0.07,,889.3422993237932,"{'DIAMOND_A4#1': 1.3623863777704886e-16, 'LIQUID#1': 0.9999999999999999}"
0.38,0.02,0.08,,911.1369661784701,"{'DIAMOND_A4#1': 1.8263669042272108e-16, 'LIQUID#1': 1.0}"
0.38,0.02,0.09,,931.2916585209492,{'LIQUID#1': 0.9999999999999999}
0.38,0.03,0.01,,795.3683923601421,"{'FCC_A1#1': 2.629659750567632e-16, 'LIQUID#1': 1.0}"
0.38,0.03,0.02,,785.4318688381254,"{'FCC_A1#1': 6.820075425275045e-16, 'LIQUID#1': 1.0}"
0.38,0.03,0.03,,775.742750341467,"{'FCC_A1#1': 1.862757133117326e-16, 'LIQUID#1': 0.9999999999999999}"
0.38,0.03,0.04,,794.1287654714456,"{'DIAMOND_A4#1': 5.775318675487665e-16, 'LIQUID#1': 1.0}"
0.38,0.03,0.05,,824.473854631814,"{'DIAMOND_A4#1': 5.120160945696512e-16, 'LIQUID#1': 1.0}"
0.38,0.03,0.06,,851.1442660166399,"{'DIAMOND_A4#1': 4.995369145494117e-16, 'LIQUID#1': 0.9999999999999998}"
0.38,0.03,0.07,,875.1505745625489,{'LIQUID#1': 1.0}
0.38,0.03,0.08,,897.1209148030116,"{'DIAMOND_A4#1': 4.1349266745097214e-17, 'LIQUID#1': 0.9999999999999998}"
0.38,0.03,0.09,,917.47448538962,{'LIQUID#1': 1.0}
0.38,0.04,0.01,,793.1259040044937,{'LIQUID#1': 0.9999999999999998}
0.38,0.04,0.02,,783.8748275486936,{'LIQUID#1': 1.0}
0.38,0.04,0.03,,774.84622443285,{'LIQUID#1': 0.9999999999999998}
0.38,0.04,0.04,,779.4959130811267,"{'DIAMOND_A4#1': 3.5238377176394626e-16, 'LIQUID#1': 1.0}"
0.38,0.04,0.05,,809.8459705468456,"{'DIAMOND_A4#1': 2.353421105028713e-16, 'LIQUID#1': 1.0}"
0.38,0.04,0.06,,836.5972896200848,"{'DIAMOND_A4#1': 6.531664736200765e-16, 'LIQUID#1': 1.0}"
0.38,0.04,0.07,,860.7361010566951,"{'DIAMOND_A4#1': 4.465600567399297e-16, 'LIQUID#1': 0.9999999999999998}"
0.38,0.04,0.08,,882.8750362919783,{'LIQUID#1': 1.0}
0.38,0.04,0.09,,903.422727372395,{'LIQUID#1': 1.0}
0.38,0.05,0.01,,790.4348573376599,{'LIQUID#1': 1.0}
0.38,0.05,0.02,,781.8519536939974,{'LIQUID#1': 1.0}
0.38,0.05,0.03,,792.6837915232619,{'LIQUID#1': 0.9999999999999998}
0.38,0.05,0.04,,801.9054580999394,{'LIQUID#1': 1.0}
0.38,0.05,0.05,,807.4865011878909,"{'LIQUID#1': 1.0, 'MG2SI#1': 6.790251036547699e-16}"
0.38,0.05,0.06,,821.8594147992081,"{'DIAMOND_A4#1': 4.511048315273975e-17, 'LIQUID#1': 0.9999999999999999}"
0.38,0.05,0.07,,846.1194124239778,{'LIQUID#1': 1.0}
0.38,0.05,0.08,,868.4181072201603,"{'DIAMOND_A4#1': 2.0194847023220694e-16, 'LIQUID#1': 1.0}"
0.38,0.05,0.09,,889.153326705572,{'LIQUID#1': 1.0}
0.38,0.06,0.01,,787.334876834755,{'LIQUID#1': 1.0}
0.38,0.06,0.02,,798.7432896631376,"{'LIQUID#1': 1.0, 'MG2SI#1': 9.854428862588084e-16}"
0.38,0.06,0.03,,815.6408655527466,{'LIQUID#1': 1.0}
0.38,0.06,0.04,,825.804945004765,{'LIQUID#1': 1.0}
0.38,0.06,0.05,,832.1732384005621,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 8.044610104752998e-16}"
0.38,0.06,0.06,,836.1027854118796,"{'LIQUID#1': 1.0, 'MG2SI#1': 7.147912210005865e-16}"
0.38,0.06,0.07,,838.3365440667204,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.539794686427711e-16}"
0.38,0.06,0.08,,853.7686232940891,"{'DIAMOND_A4#1': 8.932322629796508e-16, 'LIQUID#1': 1.0}"
0.38,0.06,0.09,,874.6831349841917,{'LIQUID#1': 1.0}
0.38,0.07,0.01,,783.8632410893624,{'LIQUID#1': 1.0}
0.38,0.07,0.02,,817.280812202169,{'LIQUID#1': 1.0}
0.38,0.07,0.03,,835.2730508853797,{'LIQUID#1': 1.0}
0.38,0.07,0.04,,846.3051273858102,{'LIQUID#1': 1.0}
0.38,0.07,0.05,,853.4061755488448,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 1.3050330111532968e-16}"
0.38,0.07,0.06,,857.9766327592316,"{'LIQUID#1': 1.0, 'MG2SI#1': 6.397295690368247e-16}"
0.38,0.07,0.07,,860.7839437145691,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.413997582192231e-15}"
0.38,0.07,0.08,,862.2953697600971,{'LIQUID#1': 1.0}
0.38,0.07,0.09,,862.8165870599958,"{'LIQUID#1': 1.0, 'MG2SI#1': 8.758813144036643e-16}"
0.38,0.08,0.01,,797.7811755349735,"{'LIQUID#1': 1.0, 'MG2SI#1': 9.304659845725139e-17}"
0.38,0.08,0.02,,833.3049354845701,"{'LIQUID#1': 1.0000000000000002, 'MG2SI#1': 1.2963717834600334e-16}"
0.38,0.08,0.03,,852.3054250431937,{'LIQUID#1': 1.0}
0.38,0.08,0.04,,864.146784141066,{'LIQUID#1': 1.0}
0.38,0.08,0.05,,871.9374842545775,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 8.910118305957571e-16}"
0.38,0.08,0.06,,877.1156854695083,{'LIQUID#1': 1.0}
0.38,0.08,0.07,,880.4701608103511,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.112221705544132e-15}"
0.38,0.08,0.08,,882.4816433124851,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.8068809678465246e-15}"
0.38,0.08,0.09,,883.4650118672786,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.0556689639474253e-16}"
0.38,0.09,0.01,,810.4529845936767,{'LIQUID#1': 1.0}
0.38,0.09,0.02,,847.2940751352417,{'LIQUID#1': 1.0}
0.38,0.09,0.03,,867.2322683554564,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.103394247825808e-16}"
0.38,0.09,0.04,,879.8348368168538,{'LIQUID#1': 1.0}
0.38,0.09,0.05,,888.2798186798574,{'LIQUID#1': 1.0}
0.38,0.09,0.06,,894.0384968772692,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.6912004926020867e-16}"
0.38,0.09,0.07,,897.9184038841412,{'LIQUID#1': 1.0}
0.38,0.09,0.08,,900.4121474840323,{'LIQUID#1': 1.0}
0.38,0.09,0.09,,901.8427406517397,{'LIQUID#1': 0.9999999999999999}
0.39,0.01,0.01,,800.9690798484955,"{'FCC_A1#1': 3.6173685619548494e-16, 'LIQUID#1': 1.0}"
0.39,0.01,0.02,,789.8602016273436,"{'FCC_A1#1': 2.525051927752663e-16, 'LIQUID#1': 1.0}"
0.39,0.01,0.03,,782.2758749782785,{'LIQUID#1': 1.0}
0.39,0.01,0.04,,818.1096926204092,"{'DIAMOND_A4#1': 8.698823436875491e-16, 'LIQUID#1': 1.0}"
0.39,0.01,0.05,,848.2859752198658,"{'DIAMOND_A4#1': 7.429787606340527e-16, 'LIQUID#1': 1.0}"
0.39,0.01,0.06,,874.6757320447205,"{'DIAMOND_A4#1': 6.208438179218509e-16, 'LIQUID#1': 1.0}"
0.39,0.01,0.07,,898.3286767974935,"{'DIAMOND_A4#1': 3.5312534528349786e-16, 'LIQUID#1': 1.0}"
0.39,0.01,0.08,,919.897726217581,{'LIQUID#1': 1.0}
0.39,0.01,0.09,,939.8188335607932,{'LIQUID#1': 1.0}
0.39,0.02,0.01,,799.6795204233856,"{'FCC_A1#1': 3.602157247960312e-16, 'LIQUID#1': 1.0}"
0.39,0.02,0.02,,789.2716221573254,{'LIQUID#1': 1.0000000000000002}
0.39,0.02,0.03,,779.1221330166749,"{'FCC_A1#1': 1.927411041199274e-18, 'LIQUID#1': 1.0}"
0.39,0.02,0.04,,803.9899462329103,"{'DIAMOND_A4#1': 2.220446049600234e-16, 'LIQUID#1': 0.9999999999999998}"
0.39,0.02,0.05,,834.1990521055803,"{'DIAMOND_A4#1': 1.0771048552547593e-15, 'LIQUID#1': 1.0}"
0.39,0.02,0.06,,860.6897740405275,"{'DIAMOND_A4#1': 1.0694021355524028e-16, 'LIQUID#1': 1.0}"
0.39,0.02,0.07,,884.4887985190438,{'LIQUID#1': 0.9999999999999999}
0.39,0.02,0.08,,906.2344817073744,{'LIQUID#1': 1.0000000000000002}
0.39,0.02,0.09,,926.3529435145365,"{'DIAMOND_A4#1': 2.152089294184936e-16, 'LIQUID#1': 1.0}"
0.39,0.03,0.01,,797.881117965739,{'LIQUID#1': 1.0}
0.39,0.03,0.02,,788.1621867646692,{'LIQUID#1': 1.0}
0.39,0.03,0.03,,778.6756349478212,{'LIQUID#1': 1.0}
0.39,0.03,0.04,,789.6648983715842,"{'DIAMOND_A4#1': 2.075570595784916e-17, 'LIQUID#1': 1.0}"
0.39,0.03,0.05,,819.8925288413437,{'LIQUID#1': 1.0}
0.39,0.03,0.06,,846.4734949317517,"{'DIAMOND_A4#1': 6.834629217628802e-16, 'LIQUID#1': 1.0}"
0.39,0.03,0.07,,870.4109144613006,{'LIQUID#1': 1.0}
0.39,0.03,0.08,,892.3281856169046,{'LIQUID#1': 1.0}
0.39,0.03,0.09,,912.641276521438,"{'DIAMOND_A4#1': 5.081680036425e-16, 'LIQUID#1': 1.0}"
0.39,0.04,0.01,,795.6121377179077,{'LIQUID#1': 1.0}
0.39,0.04,0.02,,786.5673854307618,"{'FCC_A1#1': 1.2537746617727806e-16, 'LIQUID#1': 1.0}"
0.39,0.04,0.03,,777.7305240461733,{'LIQUID#1': 1.0}
0.39,0.04,0.04,,775.1595204751083,"{'DIAMOND_A4#1': 6.727826532228172e-16, 'LIQUID#1': 1.0}"
0.39,0.04,0.05,,805.3899981778188,{'LIQUID#1': 1.0}
0.39,0.04,0.06,,832.0488605997153,{'LIQUID#1': 1.0}
0.39,0.04,0.07,,856.1151995329961,"{'DIAMOND_A4#1': 1.1140437156563947e-16, 'LIQUID#1': 1.0}"
0.39,0.04,0.08,,878.1971139976463,"{'DIAMOND_A4#1': 3.5745836894124537e-16, 'LIQUID#1': 1.0}"
0.39,0.04,0.09,,898.7001484778306,"{'DIAMOND_A4#1': 1.605781708543315e-16, 'LIQUID#1': 1.0}"
0.39,0.05,0.01,,792.9110856269222,"{'FCC_A1#1': 2.482119674232574e-16, 'LIQUID#1': 1.0}"
0.39,0.05,0.02,,784.5240679467238,"{'FCC_A1#1': 2.0089978015369075e-16, 'LIQUID#1': 1.0}"
0.39,0.05,0.03,,792.0397688309675,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 4.215404708950361e-16}"
0.39,0.05,0.04,,801.3654503752391,{'LIQUID#1': 1.0}
0.39,0.05,0.05,,807.0669147373814,"{'LIQUID#1': 1.0, 'MG2SI#1': 8.70048986391071e-16}"
0.39,0.05,0.06,,817.4372352449552,"{'DIAMOND_A4#1': 1.2615469776975782e-16, 'LIQUID#1': 1.0}"
0.39,0.05,0.07,,841.6214436438436,{'LIQUID#1': 1.0}
0.39,0.05,0.08,,863.8593649755212,{'LIQUID#1': 1.0}
0.39,0.05,0.09,,884.5458872684472,{'LIQUID#1': 1.0}
0.39,0.06,0.01,,789.8151625770074,"{'FCC_A1#1': 5.792659047102699e-16, 'LIQUID#1': 1.0}"
0.39,0.06,0.02,,797.8111333696996,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.8191945103185063e-16}"
0.39,0.06,0.03,,814.7727091989174,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.9512593294320135e-17}"
0.39,0.06,0.04,,825.0312094346814,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 9.293292071257511e-17}"
0.39,0.06,0.05,,831.510901708967,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 4.156962970452383e-16}"
0.39,0.06,0.06,,835.5625889804609,"{'LIQUID#1': 0.9999999999999998, 'MG2SI#1': 4.873913972323904e-16}"
0.39,0.06,0.07,,837.925813213497,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.2858545472028832e-15}"
0.39,0.06,0.08,,849.3327801211402,{'LIQUID#1': 1.0}
0.39,0.06,0.09,,870.1947472205816,{'LIQUID#1': 1.0}
0.39,0.07,0.01,,786.359507049033,{'LIQUID#1': 1.0}
0.39,0.07,0.02,,816.1668301638,{'LIQUID#1': 1.0}
0.39,0.07,0.03,,834.2130966278905,"{'LIQUID#1': 1.0000000000000002, 'MG2SI#1': 8.27200606139589e-17}"
0.39,0.07,0.04,,845.3303772080047,{'LIQUID#1': 1.0}
0.39,0.07,0.05,,852.5340884838466,{'LIQUID#1': 1.0}
0.39,0.07,0.06,,857.2182904357625,{'LIQUID#1': 1.0}
0.39,0.07,0.07,,860.1469254008055,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.638551278479125e-15}"
0.39,0.07,0.08,,861.7851259595427,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.6415166670881358e-15}"
0.39,0.07,0.09,,862.4371848652949,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.5642088559781863e-16}"
0.39,0.08,0.01,,796.5406522895674,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.0537490414666384e-16}"
0.39,0.08,0.02,,832.0356742545771,{'LIQUID#1': 1.0}
0.39,0.08,0.03,,851.0807399390796,{'LIQUID#1': 1.0}
0.39,0.08,0.04,,862.9984620103181,{'LIQUID#1': 1.0}
0.39,0.08,0.05,,870.8833885848076,{'LIQUID#1': 1.0000000000000002}
0.39,0.08,0.06,,876.1671952696832,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.9601025788691202e-16}"
0.39,0.08,0.07,,879.6350851833349,{'LIQUID#1': 1.0}
0.39,0.08,0.08,,881.7656141202989,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.1738291454022e-15}"
0.39,0.08,0.09,,882.8722390755718,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.8924879239689877e-15}"
0.39,0.09,0.01,,809.0896212637738,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.7625238028225711e-16}"
0.39,0.09,0.02,,845.8921374679247,"{'LIQUID#1': 1.0, 'MG2SI#1': 5.518671686448122e-16}"
0.39,0.09,0.03,,865.8659518728211,{'LIQUID#1': 1.0}
0.39,0.09,0.04,,878.5364138884526,{'LIQUID#1': 1.0}
0.39,0.09,0.05,,887.067489771719,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 6.809049997501256e-16}"
0.39,0.09,0.06,,892.9238994365148,{'LIQUID#1': 1.0000000000000002}
0.39,0.09,0.07,,896.9095548277494,{'LIQUID#1': 1.0}
0.39,0.09,0.08,,899.5148492040189,{'LIQUID#1': 1.0}
0.39,0.09,0.09,,901.0613435076002,{'LIQUID#1': 1.0}
0.4,0.01,0.01,,803.5587068741769,{'LIQUID#1': 1.0}
0.4,0.01,0.02,,792.6860340498479,"{'FCC_A1#1': 7.630395484321593e-16, 'LIQUID#1': 1.0}"
0.4,0.01,0.03,,782.0839648752294,{'LIQUID#1': 1.0}
0.4,0.01,0.04,,813.5224645262416,{'LIQUID#1': 1.0}
0.4,0.01,0.05,,843.5864575350794,"{'DIAMOND_A4#1': 4.4434533910356476e-17, 'LIQUID#1': 1.0}"
0.4,0.01,0.06,,869.892642291415,"{'DIAMOND_A4#1': 4.207871187000353e-16, 'LIQUID#1': 1.0}"
0.4,0.01,0.07,,893.4829219779419,{'LIQUID#1': 1.0}
0.4,0.01,0.08,,915.0052489177428,"{'DIAMOND_A4#1': 1.776460142086204e-17, 'LIQUID#1': 1.0}"
0.4,0.01,0.09,,934.8921939330165,"{'DIAMOND_A4#1': 9.346454275794355e-16, 'LIQUID#1': 1.0000000000000002}"
0.4,0.02,0.01,,802.202699286534,{'LIQUID#1': 1.0}
0.4,0.02,0.02,,792.0185663708246,{'LIQUID#1': 0.9999999999999999}
0.4,0.02,0.03,,782.0778954769735,"{'FCC_A1#1': 5.368901376119947e-16, 'LIQUID#1': 1.0}"
0.4,0.02,0.04,,799.5187707397138,"{'DIAMOND_A4#1': 3.944502035027333e-16, 'LIQUID#1': 1.0}"
0.4,0.02,0.05,,829.612903164548,{'LIQUID#1': 0.9999999999999999}
0.4,0.02,0.06,,856.0166862545536,"{'DIAMOND_A4#1': 3.1968965670060394e-16, 'LIQUID#1': 1.0}"
0.4,0.02,0.07,,879.749275516168,{'LIQUID#1': 1.0}
0.4,0.02,0.08,,901.4442440267558,{'LIQUID#1': 1.0}
0.4,0.02,0.09,,921.5244479660669,{'LIQUID#1': 1.0}
0.4,0.03,0.01,,800.3591919709856,{'LIQUID#1': 1.0}
0.4,0.03,0.02,,790.8521966577755,"{'FCC_A1#1': 3.863032947559267e-16, 'LIQUID#1': 1.0}"
0.4,0.03,0.03,,781.5631926691952,"{'FCC_A1#1': 1.6494050284880065e-16, 'LIQUID#1': 0.9999999999999999}"
0.4,0.03,0.04,,785.3145554023448,"{'DIAMOND_A4#1': 2.2211596939204845e-16, 'LIQUID#1': 1.0}"
0.4,0.03,0.05,,815.4248470507948,{'LIQUID#1': 1.0000000000000002}
0.4,0.03,0.06,,841.9157260236758,"{'DIAMOND_A4#1': 4.2307304139122285e-16, 'LIQUID#1': 1.0}"
0.4,0.03,0.07,,865.7830772273304,{'LIQUID#1': 1.0}
0.4,0.03,0.08,,887.6457043637346,{'LIQUID#1': 1.0}
0.4,0.03,0.09,,907.916444796275,"{'DIAMOND_A4#1': 1.2467967147129661e-15, 'LIQUID#1': 1.0}"
0.4,0.04,0.01,,798.0637056416723,"{'FCC_A1#1': 2.1730515834413203e-16, 'LIQUID#1': 1.0}"
0.4,0.04,0.02,,789.2198115718379,{'LIQUID#1': 1.0}
0.4,0.04,0.03,,780.5698533700553,{'LIQUID#1': 1.0}
0.4,0.04,0.04,,772.9462280661434,{'LIQUID#1': 1.0}
0.4,0.04,0.05,,801.0450169639815,"{'DIAMOND_A4#1': 4.5398038470787205e-16, 'LIQUID#1': 0.9999999999999999}"
0.4,0.04,0.06,,827.6109237105186,{'LIQUID#1': 0.9999999999999998}
0.4,0.04,0.07,,851.60376289787,"{'DIAMOND_A4#1': 5.605951781278187e-16, 'LIQUID#1': 1.0}"
0.4,0.04,0.08,,873.6272364668564,"{'DIAMOND_A4#1': 1.1298302954452399e-17, 'LIQUID#1': 1.0}"
0.4,0.04,0.09,,894.0838984836838,"{'DIAMOND_A4#1': 1.2809305487198715e-16, 'LIQUID#1': 1.0}"
0.4,0.05,0.01,,795.3521814696024,"{'FCC_A1#1': 7.2044015089405955e-16, 'LIQUID#1': 1.0}"
0.4,0.05,0.02,,787.1557383571383,{'LIQUID#1': 1.0}
0.4,0.05,0.03,,791.4479296752917,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.9932249176558824e-16}"
0.4,0.05,0.04,,800.8727651678158,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.5510126168654889e-16}"
0.4,0.05,0.05,,806.6895474450115,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.6466781223102335e-16}"
0.4,0.05,0.06,,813.1228789601843,{'LIQUID#1': 1.0}
0.4,0.05,0.07,,837.2304126021104,{'LIQUID#1': 1.0}
0.4,0.05,0.08,,859.4062890223101,{'LIQUID#1': 1.0}
0.4,0.05,0.09,,880.0425498796601,"{'DIAMOND_A4#1': 4.878225419246246e-16, 'LIQUID#1': 1.0000000000000002}"
0.4,0.06,0.01,,792.259506867798,{'LIQUID#1': 1.0}
