Al,Mg,Si,Zn,liquidus,eq_liquidus
0.25,0.07,0.02,,839.0823768523184,"{'LIQUID#1': 1.0, 'MG2SI#1': 4.227271428219273e-16}"
0.25,0.07,0.03,,855.9252600620457,{'LIQUID#1': 0.9999999999999999}
0.25,0.07,0.04,,865.3627431591174,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.8572772882339184e-16}"
0.25,0.07,0.05,,870.6232134005077,{'LIQUID#1': 1.0}
0.25,0.07,0.06,,873.1992984498108,"{'LIQUID#1': 1.0, 'MG2SI#1': 8.432054622390377e-16}"
0.25,0.07,0.07,,882.4784416971168,"{'DIAMOND_A4#1': 5.772105200131809e-15, 'LIQUID#1': 1.0}"
0.25,0.07,0.08,,905.7933641293404,"{'DIAMOND_A4#1': 3.4614665247311626e-14, 'LIQUID#1': 1.0}"
0.25,0.07,0.09,,927.4295451226897,"{'DIAMOND_A4#1': 1.589033030458288e-14, 'LIQUID#1': 1.0}"
0.25,0.08,0.01,,821.768327457705,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.982076158911781e-16}"
0.25,0.08,0.02,,857.3538358486103,{'LIQUID#1': 1.0000000000000002}
0.25,0.08,0.03,,875.356059238709,"{'LIQUID#1': 1.0000000000000002, 'MG2SI#1': 4.584262004549719e-16}"
0.25,0.08,0.04,,885.7460763852275,{'LIQUID#1': 1.0}
0.25,0.08,0.05,,891.8345723738558,{'LIQUID#1': 1.0}
0.25,0.08,0.06,,895.1534557347851,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.3184063225742369e-15}"
0.25,0.08,0.07,,896.5428930321661,{'LIQUID#1': 1.0}
0.25,0.08,0.08,,896.5148172301376,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.9557552660768146e-15}"
0.25,0.08,0.09,,910.7121812470456,"{'DIAMOND_A4#1': 8.751174621628136e-16, 'LIQUID#1': 0.9999999999999999}"
0.25,0.09,0.01,,836.1761757338245,{'LIQUID#1': 1.0}
0.25,0.09,0.02,,873.2338686478389,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.6904057845560645e-16}"
0.25,0.09,0.03,,892.3164682731266,{'LIQUID#1': 1.0}
0.25,0.09,0.04,,903.6039542830547,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.226817746381541e-16}"
0.25,0.09,0.05,,910.4788001686694,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.1850622284131798e-15}"
0.25,0.09,0.06,,914.5072186877568,{'LIQUID#1': 1.0}
0.25,0.09,0.07,,916.5488982893905,{'LIQUID#1': 1.0}
0.25,0.09,0.08,,917.128206833812,"{'LIQUID#1': 1.0, 'MG2SI#1': 5.41798980484984e-16}"
0.25,0.09,0.09,,916.5888745205616,"{'LIQUID#1': 1.0, 'MG2SI#1': 8.163913417167918e-16}"
0.26,0.01,0.01,,762.5292825191516,"{'FCC_A1#1': 4.007703907313998e-17, 'LIQUID#1': 1.0}"
0.26,0.01,0.02,,803.6032762686979,"{'DIAMOND_A4#1': 1.171989537930664e-15, 'LIQUID#1': 1.0}"
0.26,0.01,0.03,,852.2276379243696,{'LIQUID#1': 1.0}
0.26,0.01,0.04,,890.136712287365,{'LIQUID#1': 1.0}
