AT,C,Mn,Cu,Si,Ni,Cr,Mo,V,Al,W,N,Co,t,T
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,26998.83194,783.77021
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,30976.35572,785.55575
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,35156.34108,786.74612
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,39612.81278,788.33326
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,45448.65432,790.11881
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,51395.33581,791.30917
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,57701.22763,792.10274
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,76506.27936,793.68989
1100,0.07,0.21,0.0,0.3,0.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,92002.81186,795.07865
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,4873.15734,714.9532
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,4988.17498,722.23843
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,5243.86487,728.24874
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,5512.66122,733.89479
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,6011.62172,738.44806
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,6621.61534,742.45493
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,7515.57372,746.64393
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,8587.26711,751.01507
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,9779.13595,753.92916
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,10548.11904,757.86309
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,11945.61003,760.5647
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,15121.23409,766.32812
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,17350.35095,768.3093
