   1.000000000000E-002         1  -3.109205236415E-011   2.046524916451E+003   3.307690102394E+002   1.228442322794E+006   1.198843163436E+004   1.300000000000E-004   4.690027211624E-001   3.828723219675E+003
   2.000000000000E-002         1   2.515730858478E-012   2.005740732957E+003   3.434748060558E+002   1.210678885050E+006   2.743795207136E+004   1.300000000000E-004   4.726298695652E-001   3.883138976917E+003
   3.000000000000E-002         1   8.600641213190E-012   1.977802796007E+003   3.531030552064E+002   1.197206424613E+006   3.957988871404E+004   1.300000000000E-004   4.754618823229E-001   3.919477652640E+003
   4.000000000000E-002         1   4.978725089016E-011   1.956193612917E+003   3.610606360593E+002   1.185981207976E+006   4.990254086321E+004   1.300000000000E-004   4.778309930384E-001   3.947488752663E+003
   5.000000000000E-002         1   1.465801803359E-011   1.938413549203E+003   3.679435605044E+002   1.176250051549E+006   5.903935010995E+004   1.300000000000E-004   4.798896940171E-001   3.970815811087E+003
   6.000000000000E-002         1   8.270314312373E-011   1.923196458409E+003   3.740646113819E+002   1.167518600420E+006   6.732555096826E+004   1.300000000000E-004   4.817478880045E-001   3.991107743668E+003
   7.000000000000E-002         1   2.553167791264E-013   1.909820259289E+003   3.796107065236E+002   1.159541330206E+006   7.496339440843E+004   1.300000000000E-004   4.834551123809E-001   4.009065601772E+003
   8.000000000000E-002         1   1.437202458192E-011   1.897869932737E+003   3.847036276581E+002   1.152140029352E+006   8.208563999675E+004   1.300000000000E-004   4.850473582723E-001   4.025196612663E+003
   9.000000000000E-002         1   3.017005413295E-011   1.887018516338E+003   3.894278388651E+002   1.145196155927E+006   8.878499104449E+004   1.300000000000E-004   4.865411547518E-001   4.039867204667E+003
   1.000000000000E-001         1   5.738561726823E-011   1.877028922411E+003   3.938444253004E+002   1.138637758435E+006   9.512892519706E+004   1.300000000000E-004   4.879498536683E-001   4.053370739686E+003
   1.100000000000E-001         1   1.079088919296E-011   1.867745203893E+003   3.980001562567E+002   1.132414366934E+006   1.011697192615E+005   1.300000000000E-004   4.892874314062E-001   4.065870918243E+003
   1.200000000000E-001         1   7.488362031544E-011   1.859066838261E+003   4.019295698374E+002   1.126485370990E+006   1.069456891729E+005   1.300000000000E-004   4.905623556934E-001   4.077437630512E+003
   1.300000000000E-001         1   4.520336206353E-011   1.850928427339E+003   4.056606123570E+002   1.120816044431E+006   1.124881194055E+005   1.300000000000E-004   4.917848609647E-001   4.088157386637E+003
   1.400000000000E-001         1   3.507279900850E-011   1.843267395496E+003   4.092175632322E+002   1.115366350789E+006   1.178248789158E+005   1.300000000000E-004   4.929635794067E-001   4.098155573720E+003
   1.500000000000E-001         1   3.334351562557E-011   1.836036519577E+003   4.126175968642E+002   1.110111265331E+006   1.229748094842E+005   1.300000000000E-004   4.941017815832E-001   4.107524447569E+003
   1.600000000000E-001         1   3.815566630363E-011   1.829178799097E+003   4.158783106371E+002   1.105030344135E+006   1.279585726655E+005   1.300000000000E-004   4.952008907323E-001   4.116351725961E+003
   1.700000000000E-001         1   4.012031696792E-011   1.822654277975E+003   4.190108019368E+002   1.100108445419E+006   1.327879893512E+005   1.300000000000E-004   4.962651695612E-001   4.124719725858E+003
   1.800000000000E-001         1   7.266317426594E-011   1.816419226743E+003   4.220287650132E+002   1.095330020490E+006   1.374796532596E+005   1.300000000000E-004   4.972968413046E-001   4.132687956355E+003
   1.900000000000E-001         1   5.763341904786E-011   1.810442068928E+003   4.249418997813E+002   1.090684934224E+006   1.420447518395E+005   1.300000000000E-004   4.982991980690E-001   4.140302674938E+003
   2.000000000000E-001         1   1.126285386172E-010   1.804706955241E+003   4.277557596559E+002   1.086172309451E+006   1.464885322893E+005   1.300000000000E-004   4.992727566263E-001   4.147585563973E+003
   2.100000000000E-001         1   8.528152507384E-011   1.799186206798E+003   4.304806784349E+002   1.081772487708E+006   1.508241757087E+005   1.300000000000E-004   5.002229667787E-001   4.154585033113E+003
   2.200000000000E-001         1   9.807218249496E-011   1.793875013036E+003   4.331192839215E+002   1.077487528444E+006   1.550530922965E+005   1.300000000000E-004   5.011488742837E-001   4.161301574185E+003
   2.300000000000E-001         1   4.558616696036E-011   1.788751160924E+003   4.356812941132E+002   1.073299908930E+006   1.591882735673E+005   1.300000000000E-004   5.020540819609E-001   4.167774463654E+003
   2.400000000000E-001         1   1.084061384061E-010   1.783813310121E+003   4.381666689620E+002   1.069214217547E+006   1.632273561564E+005   1.300000000000E-004   5.029384548019E-001   4.174022208691E+003
   2.500000000000E-001         1   7.252106571169E-011   1.779039097868E+003   4.405853616588E+002   1.065212490394E+006   1.671843161520E+005   1.300000000000E-004   5.038055353186E-001   4.180078578820E+003
   2.600000000000E-001         1   3.979080276144E-011   1.774416998007E+003   4.429414771450E+002   1.061288619514E+006   1.710639681488E+005   1.300000000000E-004   5.046562332162E-001   4.185963785416E+003
   2.700000000000E-001         1   6.608266033383E-011   1.769949012521E+003   4.452319768275E+002   1.057452012785E+006   1.748595093299E+005   1.300000000000E-004   5.054870094254E-001   4.191672795115E+003
   2.800000000000E-001         1   4.960339792192E-011   1.765609810105E+003   4.474673083330E+002   1.053685796785E+006   1.785864796996E+005   1.300000000000E-004   5.063015802103E-001   4.197238288432E+003
   2.900000000000E-001         1   3.027574731140E-011   1.761389694046E+003   4.496505281586E+002   1.049986040071E+006   1.822484862584E+005   1.300000000000E-004   5.071011232290E-001   4.202672756226E+003
   3.000000000000E-001         1   3.193131185484E-011   1.757296771412E+003   4.517754401858E+002   1.046365300286E+006   1.858336960679E+005   1.300000000000E-004   5.078833041103E-001   4.207963795611E+003
   3.100000000000E-001         1  -7.592627871446E-012   1.753306004311E+003   4.538539534448E+002   1.042805857738E+006   1.893607357306E+005   1.300000000000E-004   5.086522698611E-001   4.213140281264E+003
   3.200000000000E-001         1   3.279106844094E-011   1.749436604884E+003   4.558761014995E+002   1.039326200617E+006   1.928114311327E+005   1.300000000000E-004   5.094035073729E-001   4.218172672261E+003
   3.300000000000E-001         1  -2.171111221927E-011   1.745657310269E+003   4.578567766819E+002   1.035901334881E+006   1.962098512713E+005   1.300000000000E-004   5.101419186000E-001   4.223091463954E+003
   3.400000000000E-001         1   1.420606372701E-012   1.741963273619E+003   4.597979094305E+002   1.032528826902E+006   1.995582991185E+005   1.300000000000E-004   5.108697173454E-001   4.227908057700E+003
   3.500000000000E-001         1  -1.148005871066E-012   1.738383189703E+003   4.616847843753E+002   1.029234836901E+006   2.028303304112E+005   1.300000000000E-004   5.115820139063E-001   4.232584966067E+003
   3.600000000000E-001         1  -5.274761971125E-011   1.734879923573E+003   4.635361634665E+002   1.025987107569E+006   2.060572753224E+005   1.300000000000E-004   5.122847894129E-001   4.237165841978E+003
